lastPrice,bidCall,askCall,change,%change,Volume,OpenInterest,impliedVolatility,Underlying,STRIKE,TIME,lastPrice,bidPut,askPut,change,%change,Volume,OpenInterest,impliedVolatility
0.02 ,0.00 ,0.00 ,0.00 ,0.00% ,"2,558 ","2,063 ",6.25% ,549.25,558.0,09:30:01
0.02 ,0.00 ,0.00 ,0.00 ,0.00% ,"2,558 ","2,063 ",6.25% ,549.17,558.0,09:31:01
0.02 ,0.00 ,0.00 ,0.00 ,0.00% ,"2,558 ","2,063 ",6.25% ,548.92,558.0,09:32:01
0.02 ,0.00 ,0.00 ,0.00 ,0.00% ,"2,558 ","2,063 ",6.25% ,549.0,558.0,09:33:01
0.02 ,0.00 ,0.00 ,0.00 ,0.00% ,"2,558 ","2,063 ",6.25% ,548.98,558.0,09:34:01
0.01 ,0.00 ,0.01 ,-0.01 ,-50.00% ,24 ,"2,063 ",11.72% ,549.06,558.0,09:35:01
0.01 ,0.00 ,0.01 ,-0.01 ,-50.00% ,114 ,"2,063 ",11.72% ,549.12,558.0,09:36:01
0.01 ,0.00 ,0.01 ,-0.01 ,-50.00% ,114 ,"2,063 ",11.91% ,549.03,558.0,09:37:01
0.01 ,0.00 ,0.01 ,-0.01 ,-50.00% ,114 ,"2,063 ",11.72% ,549.21,558.0,09:38:01
0.01 ,0.00 ,0.01 ,-0.01 ,-50.00% ,135 ,"2,063 ",11.72% ,549.28,558.0,09:39:01
0.01 ,0.00 ,0.01 ,-0.01 ,-50.00% ,135 ,"2,063 ",11.72% ,549.44,558.0,09:40:01
0.01 ,0.00 ,0.01 ,-0.01 ,-50.00% ,146 ,"2,063 ",11.72% ,549.42,558.0,09:41:01
0.01 ,0.00 ,0.01 ,-0.01 ,-50.00% ,146 ,"2,063 ",12.11% ,549.62,558.0,09:42:01
0.01 ,0.00 ,0.01 ,-0.01 ,-50.00% ,146 ,"2,063 ",12.11% ,549.8,558.0,09:43:01
0.01 ,0.00 ,0.01 ,-0.01 ,-50.00% ,171 ,"2,063 ",12.11% ,549.96,558.0,09:44:01
